Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EICHERMOT,EQ,4-Sep-17,31772.4,31946,31946,31448.1,31800,31753.55,31638.61,31384,992946169.1,10413,15395,49.05
EICHERMOT,EQ,5-Sep-17,31753.55,31750,32000,31600,31885.4,31935.3,31841.62,29547,940824254,10249,16787,56.81
EICHERMOT,EQ,6-Sep-17,31935.3,31747.4,32121.15,31635.3,32120,32082.6,31905.27,24901,794473032.6,9932,11702,46.99
EICHERMOT,EQ,7-Sep-17,32082.6,32500,33328.8,32301,32849,32861.95,32882.47,80695,2653450876,24706,34604,42.88
EICHERMOT,EQ,8-Sep-17,32861.95,33399.95,33480,32468.1,32520,32617.75,32975.24,54931,1811363159,22624,20134,36.65
EICHERMOT,EQ,11-Sep-17,32617.75,32500,32750,32400,32598,32498.6,32540.7,34164,1111720443,13305,17188,50.31
EICHERMOT,EQ,12-Sep-17,32498.6,32698,32698.95,32300.05,32600,32661.85,32556.12,28189,917724328,10658,13185,46.77
EICHERMOT,EQ,13-Sep-17,32661.85,32599,32604.25,32082.25,32184,32226.4,32393.75,24944,808029615.7,9575,14358,57.56
EICHERMOT,EQ,14-Sep-17,32226.4,32301.2,32340,31836.7,32060.05,32065.2,32058.21,28008,897886340.8,11755,14372,51.31
EICHERMOT,EQ,15-Sep-17,32065.2,31965.2,32099.4,31650,31950,32007.95,31904.25,39487,1259803008,16900,24796,62.8
EICHERMOT,EQ,18-Sep-17,32007.95,32160,32799.2,32136.85,32760,32766.1,32599.8,31969,1042182920,12931,18616,58.23
EICHERMOT,EQ,19-Sep-17,32766.1,32800,32916.85,32290,32450,32403.95,32581.18,22279,725876083.5,8400,10557,47.39
EICHERMOT,EQ,20-Sep-17,32403.95,32451.5,32644.95,32300,32420,32443.5,32437.36,17987,583450869.6,8466,10983,61.06
EICHERMOT,EQ,21-Sep-17,32443.5,32480,32549,31698.35,31770,31824.3,32002.24,29792,953410824,11621,14997,50.34
EICHERMOT,EQ,22-Sep-17,31824.3,31779,31779,31280,31569,31579.6,31458.95,36042,1133843630,14616,21332,59.19
EICHERMOT,EQ,25-Sep-17,31579.6,31500,31651.2,30577.6,30950,30979.85,31073.59,38819,1206245577,17266,20341,52.4
EICHERMOT,EQ,26-Sep-17,30979.85,30900,31060.15,30500.05,30870,30827.25,30708.83,54541,1674890428,13096,40877,74.95
EICHERMOT,EQ,27-Sep-17,30827.25,30967.8,31050,30338,30488,30470.2,30580.96,24895,761312949.9,12458,12590,50.57
EICHERMOT,EQ,28-Sep-17,30470.2,30570,30594.2,29910.05,30143.1,30185.2,30087.45,77927,2344624460,21981,48196,61.85
EICHERMOT,EQ,29-Sep-17,30185.2,30385,31289,30204.45,31219,31213.3,31063.27,39752,1234826949,16915,13268,33.38
EICHERMOT,EQ,3-Oct-17,31213.3,31799,31967.95,30939.95,31026.5,31147.3,31402.25,46515,1460675702,19939,20021,43.04
EICHERMOT,EQ,4-Oct-17,31147.3,31149,31280.65,30805.3,30900,30884.6,30999.58,20768,643799361.7,10474,8419,40.54
EICHERMOT,EQ,5-Oct-17,30884.6,30910,31200,30712.3,30769.45,30788.7,30878.32,19193,592647522.3,9906,8592,44.77
EICHERMOT,EQ,6-Oct-17,30788.7,30988,31625,30850.15,31601,31541.15,31224.52,29140,909882644.4,10007,9118,31.29
EICHERMOT,EQ,9-Oct-17,31541.15,31703,31990,31301.1,31896,31874.15,31728.61,27315,866667084.7,8927,13075,47.87
EICHERMOT,EQ,10-Oct-17,31874.15,31900,32072.25,31452.3,31530,31545.15,31815.44,32183,1023916465,9547,18746,58.25
EICHERMOT,EQ,11-Oct-17,31545.15,31637.15,31748.55,30960.05,31270,31243.25,31346.13,27774,870607292.5,11257,11474,41.31
EICHERMOT,EQ,12-Oct-17,31243.25,31300.5,31511.95,31020.75,31321,31335.95,31299.77,25119,786219031.5,9012,10683,42.53
EICHERMOT,EQ,13-Oct-17,31335.95,31589.65,31589.65,31211,31398,31399.25,31361.63,22160,694973830.6,9863,11493,51.86
EICHERMOT,EQ,16-Oct-17,31399.25,31526.9,31950,31501.1,31737.55,31739.95,31731.19,24908,790360501.7,8283,11871,47.66
EICHERMOT,EQ,17-Oct-17,31739.95,31699.95,31910,31331.7,31900,31863.5,31658,27608,874014132.1,8396,8519,30.86
EICHERMOT,EQ,18-Oct-17,31863.5,31830,31830,31350,31474.95,31521.35,31544.59,31013,978292236.3,11463,15191,48.98
EICHERMOT,EQ,19-Oct-17,31521.35,31519,31698.95,31400,31400,31489.1,31531.82,3589,113167719.9,1231,1191,33.18
EICHERMOT,EQ,23-Oct-17,31489.1,31402,31653.5,30900,31091.3,31170.8,31171.44,26637,830313600,14730,13522,50.76
EICHERMOT,EQ,24-Oct-17,31170.8,31200,31610.95,31103.8,31522.95,31483.3,31380.97,17166,538685707.3,8602,7953,46.33
EICHERMOT,EQ,25-Oct-17,31483.3,31480,31846.45,31436.3,31612.6,31716.4,31644.95,21199,670841246.7,11051,12472,58.83
